nome,links
coleira,https://shopee.com.br/Coleira-Para-Cachorro-Gato-Peitoral-Conjunto-De-Guia-Coleira-Tipo-Colete-Para-Pet-Pequenos-E-M%C3%A9dios-i.1265443235.27075541487
coleira,https://shopee.com.br/Kit-M%C3%A1quina-Para-Tosar-Pets-Silenciosa-Cachorro-Gato-Profissional-Bivolt-110-220v-i.876394856.23793799932
arranhador,https://shopee.com.br/Arranhador-Adesivo-Premium-30x50-Sof%C3%A1-Cama-e-M%C3%B3veis-Para-Gato-Protetor-Pet-i.1009348397.41306466722
colar,https://shopee.com.br/Coleira-colar-de-cordas-tran%C3%A7adas-ajust%C3%A1vel-com-plaquinha-de-identifica%C3%A7%C3%A3o-para-cachorro-e-gato-i.895045435.23193474101
